Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
Cre16.g678000	Cre12.g551050_4532.1.p	Cre12.g551050_4532.1.p	57184|0	57184	28592	2	49744|0	0	0	0	0	0	#NAME?	1.15	0.4	
Cre16.g678000	Cre06.g258800_4532.1.p	Cre06.g258800_4532.1.p	0|19144	19144	9572	2	0|0	0.5	1	0.5	1	0.5	-0.21	95720	0	
Cre16.g682200	Cre12.g551050_4532.1.p	Cre12.g551050_4532.1.p	65192|31960	31616	15808	2	49744|0	0	0	0	0	0	#NAME?	0.64	0.4	
Cre16.g682200	Cre13.g592500_4532.1.p	Cre13.g592500_4532.1.p	0|20336	20336	10168	2	0|0	0.5	1	0.5	1	0.5	-0.21	101680	0	
Cre16.g683750	Cre06.g258800_4532.1.p	Cre06.g258800_4532.1.p	36176|0	36176	18088	2	0|0	0.5	1	0.5	1	0.5	-0.21	180880	0	
Cre16.g683750	Cre12.g551050_4532.1.p	Cre12.g551050_4532.1.p	3264|7568	10832	5416	2	49744|0	0	0	0	0	0	#NAME?	0.22	0.4	
Cre16.g688800	Cre12.g551050_4532.1.p	Cre12.g551050_4532.1.p	30224|0	30224	15112	2	49744|0	0	0	0	0	0	#NAME?	0.61	0.4	
Cre17.g700450	Cre12.g551050_4532.1.p	Cre12.g551050_4532.1.p	0|31512	31512	15756	2	49744|0	0	0	0	0	0	#NAME?	0.63	0.4	
Cre17.g700450	Cre13.g592500_4532.1.p	Cre13.g592500_4532.1.p	0|24824	24824	12412	2	0|0	0.5	1	0.5	1	0.5	-0.21	124120	0	
Cre17.g734100	Cre17.g734100_4532.1.p	Cre17.g734100_4532.1.p	20608|0	20608	10304	2	0|0	0.5	1	0.5	1	0.5	-0.21	103040	0	
Cre17.g734100	Cre12.g551050_4532.1.p	Cre12.g551050_4532.1.p	0|11080	11080	5540	2	49744|0	0	0	0	0	0	#NAME?	0.22	0.4	
Cre24.g755197	Cre12.g551050_4532.1.p	Cre12.g551050_4532.1.p	60544|0	60544	30272	2	49744|0	0	0	0	0	0	#NAME?	1.22	0.4	
SAGA1	Cre11.g467712_4532.1.p;Cre50.g802238_4532.1.p	Cre11.g467712_4532.1.p;Cre50.g802238_4532.1.p	50256|37728	22448	11224	2	0|0	1	1	1	1	1	inf	112240	0	
SAGA1	Cre12.g551050_4532.1.p	Cre12.g551050_4532.1.p	39568|56048	30080	15040	2	49744|0	0	0	0	0	0	#NAME?	0.6	0.4	
MITH1	Cre06.g259100_4532.1.p	Cre06.g259100_4532.1.p	41192|6264	47456	23728	2	0|0	1	1	1	1	1	inf	237280	0	
