Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
Cre01.g005534	Cre12.g551050_4532.1.p	Cre12.g551050_4532.1.p	35|60	95	47.50	2	115|52	0.00	0.00	0.00	0.00	0.00	-259.71	0.57	0.70	
Cre01.g005534	Venus-FLAG	Venus-FLAG	6|12	18	9.00	2	147|111	0.00	0.00	0.00	0.00	0.00	-546.20	0.07	0.70	
Cre01.g005534	Cre06.g258800_4532.1.p	Cre06.g258800_4532.1.p	24|31	55	27.50	2	55|29	0.00	0.00	0.00	0.00	0.00	-117.12	0.65	0.70	
Cre01.g005534	Cre13.g592500_4532.1.p	Cre13.g592500_4532.1.p	10|13	23	11.50	2	28|15	0.00	0.00	0.00	0.00	0.00	-64.78	0.53	0.70	
Cre01.g005534	CreCp.g802313_4532.1.p	CreCp.g802313_4532.1.p	3|7	10	5.00	2	11|10	0.00	0.00	0.00	0.00	0.00	-36.44	0.48	0.70	
Cre01.g005534	Cre16.g651750_4532.2.p	Cre16.g651750_4532.2.p	16|10	26	13.00	2	22|13	0.00	0.00	0.00	0.00	0.00	-49.19	0.74	0.70	
Cre01.g005534	Cre06.g263450_4532.3.p	Cre06.g263450_4532.3.p	12|18	30	15.00	2	15|8	0.00	0.00	0.00	0.00	0.00	-23.63	1.30	0.69	
Cre01.g005534	Cre09.g394200_4532.1.p(+2)	Cre09.g394200_4532.1.p(+2)	8|9	17	8.50	2	16|7	0.00	0.00	0.00	0.00	0.00	-29.60	0.74	0.70	
Cre01.g005534	Cre01.g010900_4532.1.p	Cre01.g010900_4532.1.p	7|12	19	9.50	2	9|4	0.00	0.00	0.00	0.00	0.00	-13.30	1.46	0.67	
Cre01.g005534	Cre12.g483700_4532.3.p	Cre12.g483700_4532.3.p	9|13	22	11.00	2	7|4	0.06	0.13	0.06	0.13	0.06	-7.23	2.00	0.58	
Cre01.g005534	Cre06.g307500_4532.1.p	Cre06.g307500_4532.1.p	11|15	26	13.00	2	8|6	0.01	0.01	0.01	0.01	0.01	-9.63	1.86	0.65	
Cre01.g005534	Cre05.g234550_4532.2.p	Cre05.g234550_4532.2.p	8|11	19	9.50	2	14|10	0.00	0.00	0.00	0.00	0.00	-31.98	0.79	0.70	
Cre01.g005534	Cre15.g635650_4532.1.p	Cre15.g635650_4532.1.p	3|11	14	7.00	2	23|7	0.00	0.00	0.00	0.00	0.00	-54.46	0.47	0.70	
Cre01.g005534	Cre10.g452800_4532.1.p	Cre10.g452800_4532.1.p	9|10	19	9.50	2	2|2	0.99	0.99	0.99	0.99	0.99	3.94	4.75	0.00	
Cre01.g005534	Cre11.g467547_4532.1.p	Cre11.g467547_4532.1.p	7|9	16	8.00	2	8|2	0.00	0.00	0.00	0.00	0.00	-7.80	1.60	0.66	
Cre01.g005534	Cre04.g223100_4532.1.p	Cre04.g223100_4532.1.p	9|12	21	10.50	2	12|6	0.00	0.00	0.00	0.00	0.00	-19.20	1.17	0.69	
Cre01.g005534	Cre06.g250100_4532.1.p	Cre06.g250100_4532.1.p	2|5	7	3.50	2	7|4	0.00	0.00	0.00	0.00	0.00	-18.23	0.64	0.70	
Cre01.g005534	Cre03.g204250_4532.2.p	Cre03.g204250_4532.2.p	1|3	4	2.00	2	11|7	0.00	0.00	0.00	0.00	0.00	-35.63	0.22	0.70	
